Time: 14:17:48.615 | Pos: (214,38, 221,83) | Vel: (4,29, 0,06)
Time: 14:17:48.629 | Pos: (212,83, 158,08) | Vel: (0,92, 1,07)
Time: 14:17:48.629 | Pos: (182,52, 226,31) | Vel: (0,92, 4,60)
Time: 14:17:48.629 | Pos: (242,38, 232,69) | Vel: (4,34, 2,81)
Time: 14:17:48.729 | Pos: (265,89, 222,52) | Vel: (4,29, 0,06)
Time: 14:17:48.729 | Pos: (222,94, 169,84) | Vel: (0,92, 1,07)
Time: 14:17:48.729 | Pos: (192,59, 276,92) | Vel: (0,92, 4,60)
Time: 14:17:48.729 | Pos: (290,15, 263,60) | Vel: (4,34, 2,81)
Time: 14:17:48.729 | Pos: (265,89, 222,52) | Vel: (4,29, 0,06)
Time: 14:17:48.729 | Pos: (222,94, 169,84) | Vel: (0,92, 1,07)
Time: 14:17:48.729 | Pos: (192,59, 276,92) | Vel: (0,92, 4,60)
Time: 14:17:48.729 | Pos: (290,15, 263,60) | Vel: (4,34, 2,81)
Time: 14:17:48.729 | Pos: (265,89, 222,52) | Vel: (4,29, 0,06)
Time: 14:17:48.729 | Pos: (222,94, 169,84) | Vel: (0,92, 1,07)
Time: 14:17:48.729 | Pos: (192,59, 276,92) | Vel: (0,92, 4,60)
Time: 14:17:48.729 | Pos: (290,15, 263,60) | Vel: (4,34, 2,81)
Time: 14:17:48.729 | Pos: (265,89, 222,52) | Vel: (4,29, 0,06)
Time: 14:17:48.730 | Pos: (222,94, 169,84) | Vel: (0,92, 1,07)
Time: 14:17:48.730 | Pos: (192,59, 276,92) | Vel: (0,92, 4,60)
Time: 14:17:48.730 | Pos: (290,15, 263,60) | Vel: (4,34, 2,81)
Time: 14:17:48.730 | Pos: (265,89, 222,52) | Vel: (4,29, 0,06)
Time: 14:17:48.730 | Pos: (222,94, 169,84) | Vel: (0,92, 1,07)
Time: 14:17:48.730 | Pos: (192,59, 276,92) | Vel: (0,92, 4,60)
Time: 14:17:48.730 | Pos: (290,15, 263,60) | Vel: (4,34, 2,81)
Time: 14:17:48.831 | Pos: (313,10, 223,14) | Vel: (4,29, 0,06)
Time: 14:17:48.831 | Pos: (233,04, 181,61) | Vel: (0,92, 1,07)
Time: 14:17:48.831 | Pos: (202,66, 327,52) | Vel: (0,92, 4,60)
Time: 14:17:48.831 | Pos: (337,92, 294,50) | Vel: (4,34, 2,81)
Time: 14:17:48.831 | Pos: (313,10, 223,14) | Vel: (4,29, 0,06)
Time: 14:17:48.831 | Pos: (233,04, 181,61) | Vel: (0,92, 1,07)
Time: 14:17:48.831 | Pos: (202,66, 327,52) | Vel: (0,92, 4,60)
Time: 14:17:48.831 | Pos: (337,92, 294,50) | Vel: (4,34, 2,81)
Time: 14:17:48.831 | Pos: (313,10, 223,14) | Vel: (4,29, 0,06)
Time: 14:17:48.831 | Pos: (233,04, 181,61) | Vel: (0,92, 1,07)
Time: 14:17:48.831 | Pos: (202,66, 327,52) | Vel: (0,92, 4,60)
Time: 14:17:48.831 | Pos: (337,92, 294,50) | Vel: (4,34, 2,81)
Time: 14:17:48.831 | Pos: (313,10, 223,14) | Vel: (4,29, 0,06)
